cancel ['kænsl]
prepare [prɪ'peə(r)]
govern ['ɡʌvn]
surgeon ['sɜːdʒən]
analyse ['ænəlaɪz]
abrupt [ə'brʌpt]
resemble [rɪ'zembl]
discourage [dɪs'kʌrɪdʒ]
hall [hɔːl]
pollution [pə'luːʃn]
remote [rɪ'məʊt]
explanation [ˌeksplə'neɪʃn]
cafeteria [ˌkæfə'tɪəriə]
salary ['sæləri]
pretend [prɪ'tend]
youth [juːθ]
without [wɪ'ðaʊt]
drunk [drʌŋk]
would [wʊd]
pick [pɪk]
customs ['kʌstəmz]
calculate ['kælkjuleɪt]
energy ['enədʒi]
audience ['ɔːdiəns]
solid ['sɒlɪd]
thus [ðʌs]
meanwhile ['miːnwaɪl]
sniff [snɪf]
possess [pə'zes]
require [rɪ'kwaɪə(r)]
optional ['ɒpʃənl]
scratch [skrætʃ]
analysis [ə'næləsɪs]
click [klɪk]
apparent [ə'pærənt]
journalist ['dʒɜːnəlɪst]
left [left]
dawn [dɔːn]
sideways 
object ['ɒbdʒɪkt]
harbour ['hɑːbə(r)]
chapter ['tʃæptə(r)]
accessible [ək'sesəbl]
flight [flaɪt]
hang [hæŋ]
role [rəʊl]
independent [ˌɪndɪ'pendənt]
carriage ['kærɪdʒ]
defence [dɪ'fens]
achieve [ə'tʃiːv]
ahead [ə'hed]
anybody ['enibɒdi]
roll [rəʊl]
turn [tɜːn]
elect [ɪ'lekt]
example [ɪɡ'zɑːmpl]
result [rɪ'zʌlt]
same [seɪm]
selfish ['selfɪʃ]
after ['ɑːftə(r)]
headline ['hedlaɪn]
connect [kə'nekt]
hand [hænd]
merciful ['mɜːsɪfl]
rebuild [ˌriː'bɪld]
sharpen ['ʃɑːpən]
committee [kə'mɪti]
address [ə'dres]
union ['juːniən]
straight [streɪt]
wipe [waɪp]
sale [seɪl]
component [kəm'pəʊnənt]
suite [swiːt]
consultant [kən'sʌltənt]
outdoors [ˌaʊt'dɔːz]
throw [θrəʊ]
obvious ['ɒbviəs]
arch [ɑːtʃ]
discuss [dɪ'skʌs]
standard ['stændəd]
violent ['vaɪələnt]
harmony ['hɑːməni]
correct [kə'rekt]
empty ['empti]
wish [wɪʃ]
institution [ˌɪnstɪ'tjuːʃn]
tie [taɪ]
wise [waɪz]
ambition [æm'bɪʃn]
tin [tɪn]
enlarge [ɪn'lɑːdʒ]
besides [bɪ'saɪdz]
serious ['sɪəriəs]
tip [tɪp]
export ['ekspɔːt]
conversation [ˌkɒnvə'seɪʃn]
laugh [lɑːf]
murder ['mɜːdə(r)]
fantasy ['fæntəsi]
pay [peɪ]
check [tʃek]
list [lɪst]
strange [streɪndʒ]
lack [læk]
toast [təʊst]
aside [ə'saɪd]
circumstance ['sɜːkəmstəns]
success [sək'ses]
brunch [brʌntʃ]
authority [ɔː'θɒrəti]
creature ['kriːtʃə(r)]
outgoing ['aʊtɡəʊɪŋ]
tasteless ['teɪstləs]
harm [hɑːm]
instrument ['ɪnstrəmənt]
medium ['miːdiəm]
remove [rɪ'muːv]
wisdom ['wɪzdəm]
starvation [stɑː'veɪʃn]
nowhere ['nəʊweə(r)]
psychology [saɪ'kɒlədʒi]
wrestle ['resl]
treasure ['treʒə(r)]
multiply ['mʌltɪplaɪ]
live [lɪv]
approval [ə'pruːvl]
victory ['vɪktəri]
mobile ['məʊbaɪl]
perform [pə'fɔːm]
evolution [ˌiːvə'luːʃn]
expose [ɪk'spəʊz]
concentrate ['kɒnsntreɪt]
cheer [tʃɪə(r)]
with [wɪð]
there [ðeə(r)]
permit [pə'mɪt]
well [wel]
suitable ['suːtəbl]
personnel [ˌpɜːsə'nel]
hopeless ['həʊpləs]
freeway ['friːweɪ]
fountain ['faʊntən]
pile [paɪl]
channel ['tʃænl]
sunburnt ['sʌnbɜːnt]
focus ['fəʊkəs]
entire [ɪn'taɪə(r)]
approach [ə'prəʊtʃ]
wrist [rɪst]
experiment [ɪk'sperɪmənt]
fierce [fɪəs]
reservation [ˌrezə'veɪʃn]
e-mail [iː meɪl]
hate [heɪt]
block [blɒk]
write [raɪt]
pet [pet]
flow [fləʊ]
order 
wage [weɪdʒ]
period ['pɪəriəd]
musical ['mjuːzɪkl]
corporation [ˌkɔːpə'reɪʃn]
distant ['dɪstənt]
understand [ˌʌndə'stænd]
dismiss [dɪs'mɪs]
intelligence [ɪn'telɪdʒəns]
reform [rɪ'fɔːm]
ever ['evə(r)]
even ['iːvn]
restriction [rɪ'strɪkʃn]
crazy ['kreɪzi]
razor ['reɪzə(r)]
coach [kəʊtʃ]
champion ['tʃæmpiən]
wait [weɪt]
circuit ['sɜːkɪt]
pint [paɪnt]
matter ['mætə(r)]
instant ['ɪnstənt]
personalization ['pɜːsənəlaɪzeɪʃn]
shaver ['ʃeɪvə(r)]
top [tɒp]
native ['neɪtɪv]
too [tuː]
have [həv]
violence ['vaɪələns]
roast [rəʊst]
energetic [ˌenə'dʒetɪk]
consequence ['kɒnsɪkwəns]
quilt [kwɪlt]
famous ['feɪməs]
question ['kwestʃən]
vinegar ['vɪnɪɡə(r)]
spirit ['spɪrɪt]
premier ['premiə(r)]
produce [prə'djuːs]
allergic [ə'lɜːdʒɪk]
cheat [tʃiːt]
framework ['freɪmwɜːk]
regard [rɪ'ɡɑːd]
anecdote ['ænɪkdəʊt]
prohibit [prə'hɪbɪt]
almost ['ɔːlməʊst]
steward ['stjuːəd]
fuel ['fjuːəl]
manner ['mænə(r)]
upon [ə'pɒn]
foresee [fɔː'siː]
harmful ['hɑːmfl]
associate [ə'səʊʃieɪt]
pray [preɪ]
wake [weɪk]
pin [pɪn]
academic [ˌækə'demɪk]
whether ['weðə(r)]
function ['fʌŋkʃn]
raise [reɪz]
spoon [spuːn]
quite [kwaɪt]
lap [læp]
mineral ['mɪnərəl]
